cold=cold/dump base=0 T=3712 tok0=0
warm=warm/dump base=72 T=464 tok0=3248
overlap tokens [3248,3712)  N=464  cold_rows[3248:3712] warm_rows[0:464]
 17 ssm  raw_recur        2.492e-01   0.968859216   1.660e-02     no    2841112      0  (464, 6144)
 17 ssm  pre_out_proj     7.261e-01   0.741841251   1.032e+00     no    2843104      0  (464, 6144)
 17 ssm  block_out        8.147e-01   0.676935134   5.723e-01     no    1184828      0  (464, 2560)
 17 ssm  post_gdn         4.441e-01   0.900466621   3.124e-01     no    4751360      0  (464, 10240)
 17 ssm  post_moe         4.574e-01   0.894519661   3.128e-01     no    4751359      0  (464, 10240)
 18 ssm  in               4.574e-01   0.894519661   3.128e-01     no    4751359      0  (464, 10240)
 18 ssm  hc_pre_mixed     7.225e-01   0.738916226   9.594e+00     no    1184502      0  (464, 2560)
 18 ssm  hc_pre_inj       1.609e-01   0.986989451   9.054e-02     no       1773      0  (464, 4)
 18 ssm  qkvz_preconv     3.556e-01   0.936711486   1.419e+01     no    7551372      0  (464, 16384)
 18 ssm  gates            7.806e-02   0.996980150   8.641e-01     no      44366      0  (464, 96)
 18 ssm  post_conv        4.378e-01   0.902716108   3.910e+00     no    4729396      0  (464, 10240)
 18 ssm  raw_recur        2.074e-01   0.981587592   1.904e-02     no    2838962      0  (464, 6144)
 18 ssm  pre_out_proj     5.659e-01   0.848602389   1.048e+00     no    2842224      0  (464, 6144)
 18 ssm  block_out        7.324e-01   0.747613849   7.695e-01     no    1184667      0  (464, 2560)
 18 ssm  post_gdn         4.579e-01   0.894361243   3.159e-01     no    4751359      0  (464, 10240)
 18 ssm  post_moe         4.639e-01   0.891283253   3.251e-01     no    4751360      0  (464, 10240)
 19 attn attn_in          4.639e-01   0.891283253   3.251e-01     no    4751360      0  (464, 10240)
 19 attn post_attn        4.686e-01   0.889092855   3.217e-01     no    4751360      0  (464, 10240)
 20 ssm  in               4.789e-01   0.884138028   3.203e-01     no    4751359      0  (464, 10240)
 20 ssm  hc_pre_mixed     7.610e-01   0.717733445   6.234e+00     no    1184588      0  (464, 2560)
 20 ssm  hc_pre_inj       1.720e-01   0.985128948   9.200e-02     no       1752      0  (464, 4)
 20 ssm  qkvz_preconv     3.826e-01   0.928562767   1.253e+01     no    7550803      0  (464, 16384)
 20 ssm  gates            8.739e-02   0.996199787   7.768e-01     no      44334      0  (464, 96)
 20 ssm  post_conv        5.353e-01   0.860018541   3.034e+00     no    4725781      0  (464, 10240)
 20 ssm  raw_recur        2.544e-01   0.969460933   2.832e-02     no    2835472      0  (464, 6144)
 20 ssm  pre_out_proj     4.195e-01   0.912326473   1.529e+00     no    2838861      0  (464, 6144)
 20 ssm  block_out        7.750e-01   0.698353649   1.041e+00     no    1184677      0  (464, 2560)
 20 ssm  post_gdn         4.740e-01   0.885968175   3.198e-01     no    4751360      0  (464, 10240)
 20 ssm  post_moe         4.859e-01   0.880134802   3.221e-01     no    4751360      0  (464, 10240)
 21 ssm  in               4.859e-01   0.880134802   3.221e-01     no    4751360      0  (464, 10240)
 21 ssm  hc_pre_mixed     6.871e-01   0.764315855   5.695e+00     no    1184791      0  (464, 2560)
 21 ssm  hc_pre_inj       1.567e-01   0.988703259   2.136e-01     no       1793      0  (464, 4)
 21 ssm  qkvz_preconv     2.368e-01   0.971679273   1.209e+01     no    7540592      0  (464, 16384)
 21 ssm  gates            8.454e-02   0.996442653   8.130e-01     no      44344      0  (464, 96)
 21 ssm  post_conv        2.982e-01   0.954824374   6.072e+00     no    4720330      0  (464, 10240)
 21 ssm  raw_recur        1.884e-01   0.982477867   2.058e-02     no    2837997      0  (464, 6144)
 21 ssm  pre_out_proj     5.078e-01   0.874467299   6.377e-01     no    2841781      0  (464, 6144)
 21 ssm  block_out        6.330e-01   0.805260043   5.020e-01     no    1184388      0  (464, 2560)
