  L stage                 relL2       cosine       maxabs
 19 hc_pre_mixed      8.121e-02  0.996699349    1.953e-01
 19 hc_pre_inj        2.938e-02  0.999999900    3.204e-03
 19 qkvz_preconv      3.528e-02  0.999385877    2.734e-01
 19 gates             1.333e-02  0.999928417    3.161e-02
 19 post_conv         3.125e-02  0.999522786    7.617e-02
 19 raw_recur         2.421e-02  0.999709607    1.099e-03
 19 pre_out_proj      5.303e-02  0.998615084    2.539e-02
 19 block_out         7.518e-02  0.997172356    1.953e-02
 19 post_gdn          6.628e-02  0.998005537    1.121e-02
 19 post_moe          6.853e-02  0.997838814    1.108e-02
 19 attn_in           4.329e-02  0.999068067    3.808e-03
 19 post_attn         4.202e-02  0.999122384    3.672e-03
 20 in                6.853e-02  0.997838814    1.108e-02
 20 hc_pre_mixed      8.051e-02  0.996757703    1.953e-01
 20 hc_pre_inj        2.446e-02  0.999895326    2.310e-03
 20 qkvz_preconv      3.447e-02  0.999423591    2.808e-01
 20 gates             7.795e-03  0.999970132    2.702e-02
 20 post_conv         2.965e-02  0.999562462    3.516e-02
 20 raw_recur         2.463e-02  0.999744556    1.465e-03
 20 pre_out_proj      5.760e-02  0.998344575    2.539e-02
 20 block_out         8.085e-02  0.996734596    2.147e-02
 20 post_gdn          6.738e-02  0.997913143    1.069e-02
 20 post_moe          6.889e-02  0.997801885    1.030e-02
 21 in                6.951e-02  0.997681615    9.993e-03
 21 hc_pre_mixed      7.805e-02  0.996950249    2.344e-01
 21 hc_pre_inj        1.127e-02  0.999940189    2.121e-03
 21 qkvz_preconv      3.212e-02  0.999485366    3.047e-01
 21 gates             7.303e-03  0.999974628    3.381e-02
 21 post_conv         4.079e-02  0.999173361    8.203e-02
 21 raw_recur         2.725e-02  0.999629161    8.545e-04
 21 pre_out_proj      4.944e-02  0.998777374    5.859e-02
 21 block_out         5.970e-02  0.998232765    1.807e-02
 21 post_gdn          6.771e-02  0.997804648    1.001e-02
 21 post_moe          6.878e-02  0.997727938    1.182e-02
 22 in                6.878e-02  0.997727938    1.182e-02
 22 hc_pre_mixed      7.580e-02  0.997131935    2.383e-01
 22 hc_pre_inj        2.188e-02  0.999915934    6.192e-03
 22 qkvz_preconv      3.345e-02  0.999442385    2.500e-01
 22 gates             6.644e-03  0.999978606    1.747e-02
 22 post_conv         2.955e-02  0.999566416    3.125e-02
 22 raw_recur         2.894e-02  0.999591501    6.409e-04
 22 pre_out_proj      5.920e-02  0.998259126    1.538e-02
 22 block_out         7.416e-02  0.997259697    1.465e-02
 22 post_gdn          6.790e-02  0.997788633    1.181e-02
 22 post_moe          6.794e-02  0.997769066    1.167e-02
 23 in                6.794e-02  0.997769066    1.167e-02
